CellID,X_centroid,Y_centroid,phenotype,Cluster
729193,31209.260869565216,23525.339130434782,M2 macrophages,30
998746,29377.492753623188,23756.869565217392,M2 macrophages,31
898590,30497.42962962963,23324.755555555555,M2 macrophages,32
883069,29568.96402877698,23980.39568345324,M2 macrophages,33
317127,26695.55311355312,23426.29304029304,M2 macrophages,34
651327,28571.090425531915,23247.57978723404,M2 macrophages,35
898908,26796.395256917,23639.446640316204,M2 macrophages,36
621747,28096.985401459853,23677.518248175184,M2 macrophages,37
328175,29093.354166666668,23558.5875,M2 macrophages,38
845506,31629.54225352113,23972.70422535212,M2 macrophages,39
868049,30512.21848739496,23581.319327731093,M2 macrophages,40
899746,28785.340277777777,23749.375,M2 macrophages,41
501872,27669.319277108432,23231.885542168675,M2 macrophages,42
1012209,27484.390625,23300.796875,M2 macrophages,43
305451,29597.1021021021,23802.95495495496,M2 macrophages,44
767274,29075.834285714285,23819.61142857143,M2 macrophages,45
536347,31393.90317195325,23287.40901502504,M2 macrophages,46
75446,27738.893129771,23430.06106870229,M2 macrophages,47
863490,31290.55172413793,23875.1551724138,M2 macrophages,48
192148,31347.623115577888,23677.52763819096,M2 macrophages,49
521265,28730.565040650406,23532.18699186992,M2 macrophages,50
614363,30404.674074074075,23781.54074074074,M2 macrophages,51
214459,28468.15348837209,23374.1023255814,M2 macrophages,52
332493,29950.81065088757,23316.789940828403,M2 macrophages,53
899317,30656.378947368423,23502.14736842105,M2 macrophages,54
915881,26723.760869565216,23279.126086956523,M2 macrophages,55
222819,27944.10135135135,23611.722972972973,M2 macrophages,56
690361,27481.46031746032,23570.12301587301,M2 macrophages,57
480089,28411.918604651164,23819.0,M2 macrophages,58
979795,26919.91228070176,23383.63157894737,M2 macrophages,59
697944,29816.14545454545,23571.995454545453,M2 macrophages,60
640661,31365.79116465864,23582.694779116468,M2 macrophages,61
117068,31574.104,23708.866,M2 macrophages,62
932419,30274.666666666668,23471.60536398468,M2 macrophages,63
781513,29669.786610878666,23452.80753138076,M2 macrophages,64
791030,28214.192028985508,23679.713768115944,M2 macrophages,65
1022485,28320.483870967742,23322.56989247312,M2 macrophages,66
708016,27041.75977653632,23572.698324022345,M2 macrophages,67
976183,30876.0,23840.16853932584,M2 macrophages,68
1005235,27199.35714285714,23372.91836734693,M2 macrophages,69
925366,28460.35483870968,23664.322580645163,M2 macrophages,70
431007,30396.01604278075,23429.451871657755,M2 macrophages,71
535421,30152.62214983713,23658.79478827361,M2 macrophages,72
47383,26720.81210191083,23573.006369426752,M2 macrophages,73
270505,28351.664670658683,23568.37125748503,M2 macrophages,74
823616,27588.80357142857,23636.80357142857,M2 macrophages,75
470045,31040.366589327143,23534.146171693734,M2 macrophages,76
502781,28388.641176470588,23379.03823529412,M2 macrophages,77
890531,30692.63333333333,23698.37777777778,M2 macrophages,78
746607,29626.736,23677.332,M2 macrophages,79
348802,30502.796208530806,23396.39336492891,M2 macrophages,80
515918,28552.44769874477,23320.97907949791,M2 macrophages,81
348891,28726.367816091955,23414.591954022988,M2 macrophages,82
778459,28049.04334365325,23538.529411764703,M2 macrophages,83
873376,31310.043103448275,23422.08620689655,M2 macrophages,84
22014,29912.83377308707,23824.0290237467,M2 macrophages,85
799044,31476.37570621469,23783.649717514123,M2 macrophages,86
927202,27426.408,23388.408,M2 macrophages,87
942984,31294.262295081968,24010.0,M2 macrophages,88
381760,29799.28348909657,23301.545171339563,M2 macrophages,89
750651,27716.5,23492.00520833333,M2 macrophages,90
248546,30507.79389312977,23695.362595419847,M2 macrophages,91
824584,29411.48214285714,23667.809523809523,M2 macrophages,92
770682,26830.00806451613,23493.30241935484,M2 macrophages,93
414680,28084.14987080104,23462.89664082687,M2 macrophages,94
405511,27004.78645833333,23420.578125,M2 macrophages,95
808122,27645.70704225352,23383.594366197183,M2 macrophages,96
1014657,27549.80769230769,23559.25,M2 macrophages,97
661763,31439.386842105265,23534.860526315788,M2 macrophages,98
263174,29600.93385214008,23938.941634241244,M2 macrophages,99
985995,29459.17948717949,23800.653846153848,M2 macrophages,100
236941,31419.39552238806,23732.88805970149,M2 macrophages,101
956230,30414.56,23273.088,M2 macrophages,102
799796,29935.287553648068,23550.16738197425,M2 macrophages,103
332081,26974.68548387097,23312.70967741936,M2 macrophages,104
910333,26964.625,23490.657258064515,M2 macrophages,105
893906,28639.15879828326,23711.68669527897,M2 macrophages,106
511781,29006.42142857143,23571.071428571428,M2 macrophages,107
610766,29639.90756302521,23835.33613445378,M2 macrophages,108
966017,30311.31343283582,23553.97014925373,M2 macrophages,109
951666,27674.2,23651.44210526316,M2 macrophages,110
502668,29674.03314917127,23741.78453038674,M2 macrophages,111
658439,27136.91780821918,23306.198630136987,M2 macrophages,112
314623,27907.065934065933,23410.494505494506,M2 macrophages,113
915682,27519.98070739549,23424.479099678458,M2 macrophages,114
582564,27742.527027027027,23573.87837837838,M2 macrophages,115
487359,31437.29126213592,23400.95145631068,M2 macrophages,116
388797,28319.46153846154,23229.35714285714,M2 macrophages,117
310229,28372.305555555555,23742.12037037037,M2 macrophages,118
427375,30476.799426934096,23420.848137535817,M2 macrophages,119
174735,28443.714801444043,23433.67870036101,M2 macrophages,120
728612,28223.47555555556,23606.946666666667,M2 macrophages,121
34679,31467.96285714286,23608.431428571428,M2 macrophages,122
435549,28399.21875,23482.4765625,M2 macrophages,123
435444,30332.397590361445,23425.51204819277,M2 macrophages,124
489670,26640.90366972477,23546.88990825688,M2 macrophages,125
1005452,28171.174418604653,23740.86046511628,M2 macrophages,126
934805,28806.666666666668,23399.180555555555,M2 macrophages,127
337329,29496.6462585034,23676.326530612245,M2 macrophages,128
1017260,31583.4375,23950.1125,M2 macrophages,129
754497,28430.13612565445,23353.696335078534,M2 macrophages,130
370345,30017.73188405797,23347.27536231884,M2 macrophages,131
844308,29671.771276595744,23805.856382978724,M2 macrophages,132
943491,26824.816993464054,23618.69934640523,M2 macrophages,133
394548,30893.9417989418,23539.85714285714,M2 macrophages,134
343260,26829.025423728814,23448.46610169492,M2 macrophages,135
1012012,30345.810344827587,23753.758620689656,M2 macrophages,136
803996,31677.72625698324,24047.99441340782,M2 macrophages,137
535819,31349.250764526,23755.954128440368,M2 macrophages,138
774752,29879.44347826087,23574.05217391304,M2 macrophages,139
877583,31471.252427184467,23691.79611650485,M2 macrophages,140
220842,29536.375634517768,23880.370558375635,M2 macrophages,141
993325,26910.976923076923,23505.19230769231,M2 macrophages,142
1024789,29508.42105263158,23975.552631578947,M2 macrophages,143
553491,30404.688622754493,23578.562874251496,M2 macrophages,144
603412,30500.227272727272,23479.65151515152,M2 macrophages,145
641458,27047.82775119617,23511.28708133972,M2 macrophages,146
934952,31407.694444444445,23544.64583333333,M2 macrophages,147
939639,29722.693251533743,23918.80981595092,M2 macrophages,148
981298,30161.5125,23211.2,M2 macrophages,149
578019,30437.0,23383.937282229967,M2 macrophages,150
656078,28456.728260869564,23325.804347826088,M2 macrophages,151
316866,31366.347222222223,23714.510416666668,M2 macrophages,152
438071,29018.837944664032,23495.320158102768,M2 macrophages,153
850765,30051.11333333333,23224.846666666668,M2 macrophages,154
908796,31620.86842105263,23743.394736842107,M2 macrophages,155
497381,30455.846153846152,23547.861538461537,M2 macrophages,156
942207,26721.921875,23466.578125,M2 macrophages,157
